"c_resid","geo",2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"NAT","HR",4629337,4126777,3774300,3861788,5103958,5039396,5052330,5655990,5759532,5918043,6427780,7053932
"NAT","HU",9964883,9489598,9672361,9514575,11777350,12443265,13702543,14580503,15489123,16666938,17489671,17447388
"NAT","IE",13338000,12723000,11786000,10385000,17045662,17414628,17889958,16247706,14915287,":",18257838,16295535
"NAT","IS",778603,835853,847747,787964,845336,914433,1085049,930643,1044289,":",":",1089677
"NAT","IT",211869278,211268511,210340052,210420670,200116495,191992233,190978299,200249044,203540299,209970369,212334391,216076587
"NAT","LI",15881,17926,16499,18165,4766,2812,2070,2019,3069,3732,3433,3491
"NAT","LT",1622510,1152215,1220810,1383855,3061204,3182855,3431178,3570465,3719254,3933691,4354797,4804232
"NAT","LU",182459,180335,142434,179841,245762,324357,354226,323731,317892,318039,345689,347554
"NAT","LV",1385445,843549,921768,1037211,1117643,1135758,1282484,1236025,1372065,1544402,1625773,1658379
"NAT","ME",":",":",":",427105,1008229,":",":",747576,721530,431370,":",":"
"NAT","MK",774717,738875,717455,694483,665207,634951,618865,619060,644167,686100,727607,721216
"NAT","MT",336426,352312,352539,320108,333808,328740,352733,373242,348753,396167,429040,474950
"NAT","NL",59184600,59502400,58073400,57629400,56204466,64303624,65328010,66236714,66589317,67528773,69080031,71692192
"NAT","NO",20448582,20501657,20637311,21230072,21974364,21617188,22162724,22739800,23301585,":",":",":"
"NAT","PL",46472281,45410620,45729839,46527989,50138291,50488184,53587348,57476764,63814635,67175700,71117812,74659162
"NAT","PT",19202121,19340064,19648921,18997755,17747121,17809486,19349092,20522609,22054931,23150944,24555272,26002000
"NAT","RO",17366737,14657744,13284554,14912557,15799875,15830616,16467780,18985269,20462599,21647603,23154660,24620841
"NAT","RS",":",":",":",":",4593058,4489389,3879642,4217374,4766970,":",":",":"
"NAT","SE",35620762,36073474,36715303,37078238,37286517,38267737,40019659,41998923,43236883,44044499,45171193,47195047
"NAT","SI",3784840,3899297,3744285,3753876,3703703,3583709,3465829,3695121,3805661,3982065,":",4403016
"NAT","SK",7114284,6545330,6490913,6425337,6730918,7068043,6928868,7791475,8856568,9350992,9629258,11177659
"NAT","TR",":",":",":",":",":",33090923,32448842,37480990,46752171,":",78441583,78478855
"NAT","UK",171112440,182284000,149652604,142596636,198109000,192985000,":",189788000,196903030,":",":",":"
"TOTAL","AT",104709683,102833458,103942335,105339662,109540720,110687373,110440776,113365901,117957253,121126543,125229170,127890554
"TOTAL","BE",29971839,29250381,30298026,31379844,31267441,31448180,32605681,38380415,36855214,38677308,41320284,42512847
"TOTAL","BG",18182923,15277000,16139116,18656061,20252038,21617474,21698391,21397816,25185996,26054096,26845013,27154791
"TOTAL","CH",":",":",":",":",":",":",":",":",50397026,":",":",":"
"TOTAL","CY",14380375,13003669,13800788,14284731,14576573,14048529,13715342,13374837,15348884,16780913,17164182,17573684
"TOTAL","CZ",39283474,36662192,36908811,38235088,43278457,43308279,42946929,47093906,49696957,53219395,55513922,57024767
"TOTAL","DE",323876009,314118544,325439525,339021466,350349425,354871005,366527398,378048084,388851871,401163218,419556284,436954848
"TOTAL","DK",28027029,26491463,27146947,28211086,28040235,28500837,29646899,30809340,31896255,32157794,33280395,34325625
"TOTAL","EA",1896734695,1790250014,1897398002,1971452558,1966339769,":",2060118179,2137557468,2209908934,2319990585,2394622642,2445517436
"TOTAL","EE",4602212,4122526,4700680,5399392,5544537,5734033,5809464,5781870,6228128,6509299,6630315,6967047
"TOTAL","EL",65624563,85083505,84037675,87440009,80566672,89105445,100763472,106064266,110020042,119009014,142940411,143594467
"TOTAL","ES",375693309,348554453,364863944,389858477,382670976,389211987,403963022,422226376,454957250,471199729,466940717,469813551
"TOTAL","EU27_2007",2379265598,2274376016,2360884988,2439021053,2523624789,2577176820,2626905019,2880131010,2984238068,3145652167,3244603323,3325832072
"TOTAL","EU27_2020",2174320232,2051197630,2163685010,2247852506,2282244186,":",2385679467,2486031982,2585706081,2718605125,2810838235,2874808576
"TOTAL","EU28",2416307589,2311861725,2397856154,2478263920,2585808714,2641595112,2696830277,2951470010,3062062182,3231747014,3334170976,3417010155
"TOTAL","FI",19465620,18567338,19248057,19987871,20317582,20241057,19786022,19738123,20343433,21914154,22235084,23095660
"TOTAL","FR",301042789,294689672,391222795,401006928,400525558,408126035,402315167,410052887,404763426,433058728,442760050,446553868
"TOTAL","HR",38532072,37484621,37009182,39250790,62183925,64418292,66124991,71339000,77824114,86094847,89567653,91178083
"TOTAL","HU",19974414,18709746,19030734,19434914,23169533,24426148,26053873,27542898,29291168,31608719,32830120,33199961
"TOTAL","IE",34873000,30567544,29282163,29417942,28884907,28286434,29166382,29710054,31105668,":",35071345,32580794
"TOTAL","IS",2673060,2863922,2937274,3172441,3719126,4280685,5489883,6536277,7808327,":",":",8406451
"TOTAL","IT",373666712,370762377,375542550,386894732,380711483,376785615,377770806,392874070,402962113,420629155,428844937,436739271
"TOTAL","LI",187306,176340,166835,167120,141042,135303,132272,112484,130816,150624,162161,177586
"TOTAL","LT",3249339,2548114,2792135,3266858,5741252,6089056,6465004,6581192,6992674,7364924,8091647,8946758
"TOTAL","LU",2432004,2256166,1859564,2237724,2543830,2637481,2867811,2979464,2955593,2891628,2920245,2852274
"TOTAL","LV",3501063,2543111,2834104,3294232,3546736,3775192,4158418,4109910,4416597,4950929,5368739,5509682
"TOTAL","ME",":",":",":",3170519,9151236,":",":",11054947,11250005,3890370,":",":"
"TOTAL","MK",1354266,1313992,1266095,1435015,1459771,1499076,1519013,1640003,1695084,1975211,2211589,2294883
"TOTAL","MT",7917563,6903106,7560834,7681557,7832229,8501147,8780948,8915297,8971191,9580329,10114196,9911282
"TOTAL","NL",84452200,84516100,84873200,85368400,84050408,96074132,99751562,103534302,106212858,111697814,116081577,123442571
"TOTAL","NO",28567627,28002088,28518836,29074313,29914832,29310429,30614057,31591222,32974578,":",":",":"
"TOTAL","PL",56645518,55020067,55794467,57148253,62014890,62959452,66579589,71234421,79393860,83880915,88860463,93342738
"TOTAL","PT",47328837,44364742,45035005,46857858,46781091,49888259,54979437,59419938,66014226,72035786,74407596,77594254
"TOTAL","RO",20725981,17325410,16051135,17979439,19091379,19301768,20230245,23445286,25274649,26915573,28461153,29889894
"TOTAL","RS",":",":",":",":",6359685,6368597,5954322,6619439,7502498,":",":",":"
"TOTAL","SE",46540868,47390976,47900298,48422673,48585972,49710427,52280371,55611847,57234148,58683201,60856874,63175281
"TOTAL","SI",8870148,8556122,8424741,8860328,9406009,9471571,9470452,10224207,11057731,12460084,":",15758691
"TOTAL","SK",12259115,10252657,10240479,10415637,10770328,11345641,10781015,12176275,13894782,14667937,15188140,17225333
"TOTAL","TR",":",":",":",":",":",122685184,130029917,133881306,112545487,":",190686722,211287063
"TOTAL","UK",251505661,262204519,234263131,230590553,303564528,":",":",465438028,476356101,":",":",":"
