"c_resid","geo",2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"FOR","SE",4728323,4855275,4951119,5005826,4943811,5029656,5455363,6267866,6550337,6840963,7217241,7407227
"FOR","SI",1870439,1731009,1767481,1921390,2124724,2226417,2373990,2669204,2990794,3543009,":",4694812
"FOR","SK",1739705,1282970,1313019,1447702,1510699,1652786,1459974,1700746,1995812,2129507,2213983,2409115
"FOR","TR",":",":",":",":",":",":",":",":",":",":",31135545,38853764
"FOR","UK",19550044,19425749,20483978,21210608,21853784,":",":",44274119,43469604,":",":",":"
"NAT","AT",9756462,10032283,10490006,10726060,11113924,11157528,11400395,11805718,12413155,12680617,13087273,13359120
"NAT","BE",5264769,5429582,5801632,6123995,6312619,6468075,6753644,7492173,7729359,7934684,8441061,8714287
"NAT","BG",2748686,2396295,2265763,2527698,2861952,3026616,3154330,3414665,3809465,3805816,3889521,4120284
"NAT","CH",":",":",":",":",":",":",":",":",11136172,":",":",":"
"NAT","CY",535261,597159,614907,547267,508970,440553,433979,441552,461785,457850,511418,553613
"NAT","CZ",6186476,5953539,5877882,6183645,7451773,7555806,7491191,8488637,9067413,9840093,10635756,11107866
"NAT","DE",105907463,103434669,107776798,113476253,116701525,117987824,122068364,126062735,130218849,135004792,140494471,145679435
"NAT","DK",4073214,3794578,3852951,4018537,4049454,4108197,4243014,4533666,4751127,4801615,4935224,5192979
"NAT","EA",382206092,368441880,387269317,401562123,402577131,":",417931165,436301577,449942027,468976835,483859168,499683220
"NAT","EE",944325,766593,837811,918018,966376,1040735,1103755,1182979,1268388,1388785,1450960,1536526
"NAT","EL",7127227,9716816,9027590,8231659,6981507,7365859,7414809,7665265,8080042,8142571,9264746,9163555
"NAT","ES",56429185,54470376,55617853,55430798,52308531,51874205,55185879,59021796,62199939,64159337,65032598,67280725
"NAT","EU27_2007",502475499,491881368,501612083,516591117,548724454,552320372,566156726,589564952,607187606,636262207,657016795,681363684
"NAT","EU27_2020",442443478,425846343,446035759,462046720,467215411,":",486321742,511042319,530355283,553587484,572867365,592887884
"NAT","EU28",503909539,493248387,502740936,517872464,550129411,553751080,567600742,591178469,608926753,638090440,659030719,683569123
"NAT","FI",7745964,7544726,7885936,8103982,8109244,8043589,7928850,8112802,8319180,8614140,8742953,9136439
"NAT","FR",87133556,88157660,89134956,107184891,106527156,107692846,106884663,110695233,112304511,117911260,118970003,123048025
"NAT","HR",1591681,1367019,1266897,1283873,1404957,1430708,1444016,1613517,1739147,1828233,2013924,2205439
"NAT","HU",4135220,3922670,3918201,3915301,4644511,4929753,5515165,5984739,6346301,6809296,7170933,7285514
"NAT","IE",4715000,4615000,4327000,3988000,7816464,":",8120439,8088800,7382650,":",8970717,8640699
"NAT","IS",494999,538333,537659,498035,519663,458168,699733,602016,646790,":",":",698737
"NAT","IT",53749362,54375079,55019507,56263060,54994582,53599294,54916852,58352886,60180004,62672366,64905729,66371433
"NAT","LI",5021,5921,5432,5863,2244,1124,1054,983,1670,1677,1781,1781
"NAT","LT",733112,536993,569601,633625,1090318,1199914,1316696,1417321,1546624,1669403,1875657,2099777
"NAT","LU",59010,59003,49245,61043,71252,99990,104417,106541,108131,110075,121304,124139
"NAT","LV",611246,360023,433764,521702,548484,589427,667343,664628,730011,798365,883411,907414
"NAT","ME",":",":",":",94478,175337,":",":",153185,151696,111890,":",":"
"NAT","MK",245847,233957,213831,207583,206987,200494,207572,219532,228882,242674,268612,276091
"NAT","MT",142289,158876,158387,144238,155048,148662,155378,157267,151389,167109,184577,201076
"NAT","NL",18997700,19039000,19125200,19367400,19517001,21267283,21931193,22311303,23053578,24310943,25132289,25786602
"NAT","NO",":",":",":",":",14124131,13826267,13824254,14029604,14673056,":",":",":"
"NAT","PL",15509790,15491770,16326526,17067066,17656094,18158166,19613643,21252486,23729515,25185677,26813699,28197545
"NAT","PT",7438542,7649273,7746207,7586162,7142111,7501005,8213985,8940270,9572917,10257547,10830619,11694640
"NAT","RO",5659416,4865545,4726414,5514907,6000012,6203997,6532213,7664325,8445821,9306915,10029531,10604562
"NAT","RS",":",":",":",":",1188095,1200182,1125645,1281983,1445608,":",":",":"
"NAT","SE",17727970,17949438,18480781,18818412,18930725,19578317,20397005,21788707,22524467,23033004,23519609,24490475
"NAT","SI",1071509,1104160,1083539,1123749,1131158,1113903,1100862,1209019,1273017,1348977,":",1527029
"NAT","SK",2287331,2058218,2042109,2088974,2219663,2350314,2229662,2573289,2948498,3158266,3273224,3858686
"NAT","TR",":",":",":",":",":",":",":",":",":",":",40822111,42012998
"NAT","UK",62577674,67402044,57735885,55826667,82914000,81279000,":",80136150,78571470,":",":",":"
"TOTAL","AT",28833247,28566589,29700112,30906198,32325646,32940265,33646592,35350102,37090751,38586622,40093480,41321435
"TOTAL","BE",12429534,12243246,12988051,13618136,13872644,14152360,14641070,15846926,15210781,16319257,17559915,18057611
"TOTAL","BG",4971863,4340663,4344510,4936967,5494014,5847289,5945908,6279036,7196397,7461646,7799680,8187634
"TOTAL","CH",":",":",":",":",":",":",":",":",21522048,":",":",":"
"TOTAL","CY",2297038,2269023,2429235,2494714,2530150,2388389,2369620,2315875,2729961,2946461,3177161,3242957
"TOTAL","CZ",12835886,11985909,12211878,12898712,15098817,15407671,15587076,17195550,18388853,20000561,21247150,21998366
"TOTAL","DE",130765215,127559726,134541690,141740709,147000783,149395295,154927904,160893747,165623773,172312123,179242169,185121042
"TOTAL","DK",6040169,5587055,5839785,6164984,6281712,6437015,6708461,7164604,7518778,7673208,7966674,8279387
"TOTAL","EA",602653114,573515981,610898285,640402580,645790249,":",687817975,721488022,746546450,789630697,822789475,847478736
"TOTAL","EE",2377671,2147133,2401763,2725937,2839895,2980865,3087070,3112143,3324914,3544932,3591495,3789955
"TOTAL","EL",16013569,20150866,19856896,20315597,18212022,20115254,22674051,24166974,24996038,27211268,33585639,34202053
"TOTAL","ES",100147418,93674522,98800631,103083343,100409178,101673090,107545009,114448411,123541778,129392382,130803657,135008823
"TOTAL","EU27_2007",768953798,742216555,772036701,804521611,844287028,864637242,893769391,952347917,983440040,1042399119,1084200975,1121092018
"TOTAL","EU27_2020",697383570,663718232,703217148,736005286,751062897,":",798455534,842094674,876845557,928554906,969016751,999794950
"TOTAL","EU28",777710792,750546025,779893874,813042561,855830681,876842950,907146605,966504943,998886631,1059809056,1102849912,1140645513
"TOTAL","FI",10240298,9764993,10204648,10726568,10887708,10840428,10660106,10734841,11108083,11794394,11967117,12426677
"TOTAL","FR",126255594,124039307,125864400,148791996,148855084,153694338,152958605,157492941,157263479,166830634,171475894,174628055
"TOTAL","HR",8673601,8329470,7919729,8520950,11543653,12205708,12882822,14157026,15446591,17409937,18648937,19553495
"TOTAL","HU",7651250,7150612,7304010,7586727,8808152,9317445,10132916,10913250,11648144,12459373,13116056,13454090
"TOTAL","IE",":",8499568,7929663,7899637,9969130,":",10363254,10755648,10555090,":",12260206,11918503
"TOTAL","IS",1577881,1747540,1724169,1880603,2140837,2376249,3296473,3978084,4624337,":",":",5231835
"TOTAL","IT",95546086,95499801,98813845,103723869,103733157,103862530,106552352,113392137,116944243,123195556,128100932,131381653
"TOTAL","LI",77957,72428,69756,72849,64626,60764,62305,57649,70754,80939,87064,99891
"TOTAL","LT",1591128,1247951,1361422,1576910,2238245,2460250,2673531,2805808,3064514,3253204,3620390,4037749
"TOTAL","LU",936646,907531,854717,934995,1021673,1044336,1142892,1196117,1161784,1155958,1139037,1165256
"TOTAL","LV",1555936,1113898,1311538,1584996,1644758,1839241,2098381,2139393,2303643,2577338,2808808,2853333
"TOTAL","ME",":",":",":",625981,1439500,":",":",1713109,1813817,955499,":",":"
"TOTAL","MK",497641,489577,472773,531832,554039,595432,624662,698684,737182,869553,971445,1031529
"TOTAL","MT",1221378,1116457,1276983,1342460,1350986,1460645,1554679,1586068,1619532,1829467,1982579,2022912
"TOTAL","NL",29102000,28959700,30008300,30666800,31150585,34050183,35856074,37318438,38883066,42235134,43912615,45916002
"TOTAL","NO",":",":",":",":",18662359,18604193,18678864,19333135,20593915,":",":",":"
"TOTAL","PL",19556102,19353712,20461496,21476616,22635388,23401138,25083978,26942056,30108308,31989344,33895930,35668091
"TOTAL","PT",14400260,14088295,14502561,14849806,14645363,15901257,17902297,19780195,21916899,24557197,25866422,27895078
"TOTAL","RO",7125307,6141135,6072757,7031606,7653373,7918535,8444030,9898557,10917232,12056173,12815999,13277449
"TOTAL","RS",":",":",":",":",1973710,2051766,2101866,2409267,2723564,":",":",":"
"TOTAL","SE",22456293,22804713,23431900,23824238,23874536,24607973,25852368,28056573,29074804,29873967,30736850,31897702
"TOTAL","SI",2941948,2835169,2851020,3045139,3255882,3340320,3474852,3878223,4263811,4891986,":",6221841
"TOTAL","SK",4027036,3341188,3355128,3536676,3730362,4003100,3689636,4274035,4944310,5287773,5487207,6267801
"TOTAL","TR",":",":",":",":",":",":",":",":",":",":",71957656,80866762
"TOTAL","UK",82127718,86827793,78219863,77037275,104767784,":",":",124410269,122041074,":",":",":"
