"c_resid","geo",2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"FOR","AT",19076785,18534306,19210106,20180138,21211722,21782737,22246197,23544384,24677596,25906005,27006207,27962315
"FOR","BE",7164765,6813664,7186419,7494141,7560025,7684285,7887426,8354753,7481422,8384573,9118854,9343324
"FOR","BG",2223177,1944368,2078747,2409269,2632062,2820673,2791578,2864371,3386932,3655830,3910159,4067350
"FOR","CH",":",":",":",":",":",":",":",":",10385876,":",":",":"
"FOR","CY",1761777,1671864,1814328,1947447,2021180,1947836,1935641,1874323,2268176,2488611,2665743,2689344
"FOR","CZ",6649410,6032370,6333996,6715067,7647044,7851865,8095885,8706913,9321440,10160468,10611394,10890500
"FOR","DE",24857752,24125057,26764892,28264456,30299258,31407471,32859540,34831012,35404924,37307331,38747698,39441607
"FOR","DK",1966955,1792477,1986834,2146447,2232258,2328818,2465447,2630938,2767651,2871593,3031450,3086408
"FOR","EA",220447022,205074101,223628967,239122177,243213118,":",269886810,285186445,296604423,320653862,338930307,347795516
"FOR","EE",1433346,1380540,1563952,1807919,1873519,1940130,1983315,1929164,2056526,2156147,2140535,2253429
"FOR","EL",8886342,10434050,10829306,12083938,11230515,12749395,15259242,16501709,16915996,19068697,24320893,25038498
"FOR","ES",43718233,39204146,43182778,47652545,48100647,49798884,52359130,55426615,61341839,65233045,65771059,67728098
"FOR","EU27_2007",266478299,250335187,270424618,288199482,295562574,312316870,327612665,362782965,376252434,406136912,427184181,439728334
"FOR","EU27_2020",254940092,237871889,257181388,274237319,283847486,":",312133792,331052355,346490274,374967422,396149386,406907066
"FOR","EU28",273801253,257297638,277152938,295440067,305701270,323091870,339545863,375326474,389959878,421718616,443819194,457076390
"FOR","FI",2494334,2220267,2318712,2622586,2778464,2796839,2731256,2622039,2788903,3180254,3224164,3290238
"FOR","FR",39122038,35881647,36729444,41607105,42327929,46001492,46073942,46797708,44958968,48919374,52505891,51580030
"FOR","HR",7081920,6962451,6652832,7237077,10138696,10775000,11438806,12543509,13707444,15581704,16635013,17348056
"FOR","HU",3516030,3227942,3385809,3671426,4163641,4387692,4617751,4928511,5301843,5650077,5945123,6168576
"FOR","IE",":",3884568,3602663,3911637,2152666,":",2242815,2666848,3172440,":",3289489,3277804
"FOR","IS",1082882,1209207,1186510,1382568,1621174,1918081,2596740,3376068,3977547,":",":",4533098
"FOR","IT",41796724,41124722,43794338,47460809,48738575,50263236,51635500,55039251,56764239,60523190,63195203,65010220
"FOR","LI",72936,66507,64324,66986,62382,59640,61251,56666,69084,79262,85283,98110
"FOR","LT",858016,710958,791821,943285,1147927,1260336,1356835,1388487,1517890,1583801,1744733,1937972
"FOR","LU",877636,848528,805472,873952,950421,944346,1038475,1089576,1053653,1045883,1017733,1041117
"FOR","LV",944690,753875,877774,1063294,1096274,1249814,1431038,1474765,1573632,1778973,1925397,1945919
"FOR","ME",":",":",":",531503,1264163,":",":",1559924,1662121,843609,":",":"
"FOR","MK",251794,255620,258942,324249,347052,394938,417090,479152,508300,626879,702833,755438
"FOR","MT",1079089,957581,1118596,1198222,1195938,1311983,1399301,1428801,1468143,1662358,1798002,1821836
"FOR","NL",10104300,9920700,10883100,11299400,11633584,12782900,13924881,15007135,15829488,17924191,18780326,20129400
"FOR","NO",":",":",":",":",4538228,4777926,4854610,5303531,5920859,":",":",":"
"FOR","PL",4046312,3861942,4134970,4409550,4979294,5242972,5470335,5689570,6378793,6803667,7082231,7470546
"FOR","PT",6961718,6439022,6756354,7263644,7503252,8400252,9688312,10839925,12343982,14299650,15035803,16200438
"FOR","RO",1465891,1275590,1346343,1516699,1653361,1714538,1911817,2234232,2471411,2749258,2786468,2672887
"FOR","RS",":",":",":",":",785615,851584,976221,1127284,1277956,":",":",":"
